70세,threescore
불장난하는,flirtatious
불태우다,set ablaze; to burn in flames
불합격자,FF; reject; rejectee
불행,bad(ill) luck; Unhappiness
붉은털원숭이,magot
브라운관,"cathode-ray tube; Braun tube, picture tube"
비난하다,"call(take) a person to task; accuse, blame, censure, criticize, reprove"
비녀장,"linchpin; cotter, -tar; toggle"
비만,"puppy fat; Fatness, corpulence"
비상근,flightmuscle; semiretirement
비어있는,open
비정규병,"franctireur; guerrilla fighters, irregulars"
비치다,"salute; To shine, to reflect light"
비틀다,"wring; curl, distort, twist"
빈,"clean; empty, vacuous, void"
빈터,"open space; frontage, a space/place, a sandlot, an empty lot"
빈틈없는,"watertight; astute, canny, shrewd, smart, tactical"
빙원,"ice field; a floe, an ice field, an ice floe"
빛나는,luminous
빠뜨리다,"throw; Throw into (a river); entice, entrap"
빠져든,downed
빨다,"nurse; sip,suck; Wash the laundry"
빵,toke; Bread
빼다,"wipe; to evade, shirk, shuffle out of; Pull out, extract"
빼앗다,"usurp; Snach, take away from"
뻔뻔하다,"bold,brazen; to be too forward, to be overly audacious"
뼈속까지,to the marrow
뽐내다,"value; highhat, be haughty, inflate"
뾰족탑,"minaret; spire, steeple, steeplejack"
뿌리다,"inseminate; sprinkle,scatter"
삐다,subside; sprain
삐라,"throwaway; (bill) circular, flyer, notice"
사감,"housemaster; a bad feeling of resentment, malice [towards sb]; a dormitory"
사과산,malic acid
사기,"house flag; being cheated, defrauding sb; morale,fighting spirit"
사나움,foulness; fierceness
사나워지다,run wild
사나이,"macho; A man, a male"
사다리,scalingladder; a ladder
사닥다리차,ladder truck
사람,oracle; Person
사랑매듭,love knot
사방팔방으로,all over the shop
사자궁,Leo
사자실,scriptorium
사탕,lollipop; Sugar
사회자,talk jockey; President
삭이다,"the price of using water, time,money; mitigate, try to appease"
산란관,ovipositor
산문시,prose poem
산울타리,"thickset; a quick hedge, a quickset, a living (of bushes) hedge"
산적,"mosstrooper; bandit, brigand, bushranger; accumulation ,heaping up"
산지사람시골뜨기,hillbilly
산지인,Montagnard
산책길,"marina; an esplanade, a walk"
산책하다,go for (take) a walk; promenade; stroll
산출하는,producing
산탄,"case shot; canister, shot, slug"
산파술의,"maieutic, -tical"
살,"tine; flesh,muscle; Years old"
살갗,skin; the skin
살랑거림,"flicker; susurration, whispering"
살빛,flesh tint; flesh tints
살아서,ont the hoof; alive
살의,malice aforethought(prepense); a murderous intent
삵쾡이,catamountain
삼림철도,logging train
삽입하다,"work; insert words into a larger text or speech, insert between"
상급의,upperclass
상대방,adversary; Conversation partner
상복,livery; clothes worn on the upper body; clothes for a funeral
상봉,weed; meeting eachother
상사,major; master sergeant; mutual and reciprocated love
상사식의,overshot
상선대,the mercantile marine
상세히,"at large; inextenso, thoroughly"
상승하여,on the upgrade
상악골,maxilla; maxillary
상임의,in ordinary
상치,cross-purpose
새다,"ooze; leak,escape from"
새된,"reedy; high toned, piping, sharp, treble"
새살,proud flesh; granulation
생명,spend blood and treasure; Life
생명줄,umbilical; lifestrings
생산,throughput; 1) production 2)birth
생지옥,living
서게르만어,West Germanic
서다,sleep; To stand
서둘러서,in a hurry
서명하다,witness; To sign
서브루틴,subroutine
석사,master's degree; Master
석회수,lime; limewater
선거하다,"vote; choose, elect"
선두타자,opening batsman
선박,"marine; watercraft, a ship, a boat"
선서하다,an oath; swear
선신,Ormazd
선장,master mariner; A captain
선택하다,make one's option; To choose
선행점,good mark
선향,joss stick
설,doxy; a theory
설거지하다,wash
설구워진,sad; sadness
설렁,clapper
설명문,legend; a caption
설명하다,illustrate; To explain
설복시키다,gain
설상가상으로,or to make matters worse
설상화,ray flower; ray
설태,coated (furred) tongue
섬기어,in waiting
섬쩍지근하게붉은,lurid
성공자,made
성공하다,get there; To succeed
성교하다,"frig; make; copulate, fuck"
성내다,"take huff; take offense; chafe, make angry, ruffle"
성문법,written; statute law
성병,"venereal; a social disease, a sexual disease"
성분,"ingredient; constituent, element; social status"
성서대,lectern
성숙하다,"come to maturity; to ripen, to mature"
성악,vocal; singing
성운,"Milky Way; cosmic fog (clouds), a nebula"
세마리,leash
세상없어도,for the world
세척,lavage; to wash clean
"미소,소",micro
소공원,minipark
소굴,"lie; den, hangout, haunt, nest"
소규모로,in little
소낭,"proventriculus; crop, follicle, saccule, utricle, vesica"
소녀,wahine; A young girl
소년,catamite; A boy
소다수,"setup; fizzwater, soda, soda water"
소두증,microcephaly
소리,"cadence; tum; A sound,noise"
소리치다,"lift up one's voice; To shout, yell"
소변기,urinal; a urinal
소생하다,"come(bring)to life; resurrect, resuscitate, revive"
소열편,small lobe; lobule
소집단농장,kvutzah
소품,"minor orders; opuscule, a short literary work; a prop, a set piece"
소핵,micronucleus; acinus
속박하다,"hold in leash; enchain, enfetter, hamshackle, restrain, tie"
속살까지,to the quick
속살이,oyster crab
속이다,"hoax; deceive,cheat"
속인,laity; your normal everyday person; a person of the world
속인의,"laic; civil, lay"
속지주의,territorial
솎다,thin; rogue
손,donny; The hand
손가마,lady chair
손도끼,frow; hand ax
솔직하게,straight; straight for ward
솜털,"floccus; cilia (fine hairs as on wings); down, fine and soft airs: eiderdown, fluff, fuzz"
솟구치다,upsurge; rise up and soar quickly
송상관,iconoscope
쇠고랑,manacle; handcuff; shackle
쇠스커트,tonlit
쇠약,"marasmus; asthenia, atrophy, debilitation, wasting away; enfeeble"
쇠테,hoop iron
수고하다,take trouble; To work hard
수관화,crown fire
수권,hydrosphere
수다,"talkee-talkee; long tongue; babble, cackle, chatter, chin-wag, chin music, clack, gab, gossip, jaw"
수단,"leverage; a means, a way"
수도사,"marabout; monk, religious ascetic"
수랑,transept
수렁,"wallow; bog, mire, slough"
수명,life span; tenure
수목,timber; tree
수북,in heaps
수비자,keeper
수상,grand vizi(e)r; The prime minister; on the water surface
수소,ox; hydrogen
수술실,operating; surgery
수심,"sounding; depth of the water; anxiety, worry"
수위표,watermark
수의근,voluntary
수정,"rock crystal; adjustment,regulate, tune; amendment, correction, modification, revisal"
수정체,lens; crystalline; crytalline lens
수직판,tail fin
수축,"take up; constriction, contraction, shrinkage"
수축시키다,"flex; constrict, contract (in size), deflate"
수컷,jack; A male of the species
수험자,testee; an examinee
숙박소,hospice
숙식,found; room and boarding
숙영하다,lie
숙주,"host; place to stay, lodging ; the host of a zomblie"
순유하다,go on a tour; itinerate
순응성,give; adaptability
순조롭게,like smoke
순하게,like a lamb
술래,tagger; it
숨다,"hide; To be in hiding, to hide oneself"
쉼,layup
스러지다,be out of vogue
스며나오는,ooze
스키리프트,Jbar lift
스트레스병,stress disease
슬라이드,"lantern slide; a film slide, slide, a transparency"
승선하다,take ship
승천하다,go to glory
시골의,"rural; bucolic, rustic"
시과,samara
시녀,"maid; chambermaid, handmaid(en), ladyinwaiting"
시도하다,"have a shot; To try,attempt"
시동,foot page; the ignition (switch)
시들다,"wilt; To wither,die,fade"
시사해설,think piece
시승하다,testdrive
시신경상,the optie thalamus
시작하다,"lead; To start,begin"
시조,"propositus; father, the founder, originator, primogenitor; a Korean phrase or saying"
시초,"wing case; inception, origination; a collection of selected poems"
시험대,test bed
시험적으로,on trial
시험하다,"put (buring) to the touch; to assay (test), to examine"
시화법,lip language
식다,"wither; To get cold, cool off"
식당,mess hall; Restaurant
식료품실,lazaretto; pantry
식민하다,settle; populate
식용거북,terrapin
식탁,the mahogany; a dinner table
식품조사,food irradiation
신경전,war; psychological warfare
신용장,letter; credit
신입생,freshman; freshperson; A new student
신호소,signalbox; signal tower
실,chamber; Thread (to wind thread); to make sense
실례입니다만,by your leave
실린,laden
실수,misplay; A mistake
실시되다,become operative; To be enforced
실시하다,"put into operation; work; To enforce,put into effect"
실적제,merit system
실제,"in truth; The truth, a fact"
실직하여,out of work
실컷울다,weep
실패작,turkey; clinker
실패하다,to fail
실행,"followthrough; doing, execution, fulfilment, implementation, putting sth into practic"
실행하다,"live; perform, practice, realize"
실험장,proving ground; range
심,"lead; core, nucleus, center"
심리,"inquest; examination, inquiry, inquisition, trial; A mental state"
심리조작,psyops
심사하다,screen; examine
심압대,footstock
심의중에,one's inner thoughts
십중팔구,in all likelihood; 9 times out of 10. almost every time.
싱글의,singlebreasted
싸우려고,on the warpath
싹트다,"pullulate; burgeon, germinate, spring"
써두다,write
써서,in writing
썰다,"chaff; Chip, mince,dice"
쏘다,"flight; loose; (1) To shoot (2) to sting, bite (an insect, animal)"
쓰다,"write; to use as sth, to use for doing sth; to cover lightly with a powder, to have dust everywhere"
쓰러뜨리다,"level; mow down, prostrate, topple"
쓰러지다,"lodge; Fall, collapse"
씻어내다,"wash; rinse, wash, clear away"
아감딱지,operculum; gill cover
아래턱,"mandible; the chinbone, the underjaw"
아무의입장이되다,be in a person's skin
아물다,"heal; to close a wound, heal a wound"
아슐기,Acheulean
아시다시피,you know
아찔아찔하는,vertiginous
아첨,"soft solder; adulation, compliment, flattery, sycophancy"
아첨하다,"oil; fawn, flatter, sweettalk, toady, truckle"
아침의,matutinal
아파트,maisonette; mews; Apartment
아편전쟁,Opium War
악성,"malignance; malignancy, malignity"
악수하다,"shake; clasp, shake hands"
악용하다,"misappropriate; abuse, illuse, prostitute"
악한,maquis; to be very evil on the inside
안개등,fog lamp; fog light
안내하다,marshal; To lead the way
안달복달하여,fussily
안상부,saddle
안전벨트,safety belt
안전히,in safety
앉다,light; To sit down
않는,but what; little; seldom
알다,wise; To know
알리다,"bring word; To inform, tell about, to make known"
알맞은,moderate
알맹이,"a seed, grain; the core content; a grain (of sand), a speck of sth"
알선,"procurement; good offices, intercession"
알세이셔의,Alsatian
암기하다,learn; memorize
암살단원,thug
암상인,black marketeer
암시야,dark field
암시장,black market
암초,"ledge; a reef, a sunken sea rock"
압도되다,all of a heap
압박하다,"weigh; clamp, constrain, oppress, press, weigh down/on/upon"
압축비,compression ratio
앞날개,forewing
앞뜰,front yard
앞마구리,front edge
앞선,far gone; prevenient
애찬,love feast
액면가격,nominal value
앵무새,"mockingbird; a parrot, a poll parrot"
야간근무,night shift
야단법석,"high jinks; bustle, fuss, rant, riot, rowdyism"
야단법석하는,fussy
야단스럽게,fussily
야생마,"bromcho; a bronco, a wild horse"
야생하다,grow wild
야채,veg; Vegetables
약,"doctor's stuff; About, approximately; Medicine"
약모,forage cap; garrison cap
약물,"materia medica; medicament, medication"
약물학,materia medica
약상자,medicine chest(cabinet)
약점,"vulnerable/weak point; A weak point, a vulnerable point"
약탈하다,"freeboot; despoil, loot, maraud, plunder, ransack, sack"
약해지다,sag; To become weak
얌전하게,prettily; modestly; quietly
양,"c, C; Both, two; Miss ~"
양가죽,cabretta; sheepskin
양도하다,"make; to cede, convey, grant, relinquish, remit"
양육,"fosterage; bringing-up, parenting, bringing up children"
양품상,hosier
얘야,my own; sonny
어겨하다,manage
어깨,yoke; Shoulder
어딘지,"in some wise; someplace, somewhere"
어떤때에는,now then
어떻등,whether
어머,well; Oh my god!
어머니,motherhood; Mom
어버이,"procreator; a parent, mom and dad"
어울리는,matching
어지러워,hinge; reelingly
억제력,force de dissuasion; restraint
억제하다,"master; check, constrain, control, dominate, quench, restrain, subdue"
